podyezd,distance_to_metro_m
143,1753.010900619754
144,1760.381615560434
145,1672.2303284845837
146,1751.7360195656772
147,1688.430910521957
148,1724.4094075799528
149,1728.2311134380604
150,1736.4758773457756
151,1681.5223527541962
152,1720.5755484186636
153,1734.4040454876454
154,1775.138041540576
155,2082.669098963224
156,1962.7632375128103
157,2141.8603395654495
158,2060.016815519011
159,2078.707111717448
160,2102.103567978268
161,2116.2999628375783
162,2106.976825640292
163,2177.9856027223386
164,2177.1964892430906
165,2237.8493174786086
166,2238.8660141653886
167,2303.0222311004404
168,2300.7645184664666
169,2052.8029360598407
170,2122.9565600495616
171,2063.8112698257123
172,2050.9065081490276
173,1997.5598107471478
174,2770.144563995231
175,2731.4412136003184
176,2726.502522511947
177,2722.9711055847783
178,2733.721443515103
179,2758.210822768849
180,2769.7090908065265
181,2745.849131474691
182,2762.0088440850104
183,2705.076807814051
184,2533.9209856831635
185,2504.2970419149165
186,2478.320870559218
187,2406.283213638785
188,2368.825120155467
189,2237.8139269331236
190,2287.3422528033907
191,2323.9600071615237
192,2029.3399517729836
193,2170.5722891841715
194,2191.844902267903
195,2218.5017600751003
196,2163.707891577486
197,2212.925214234078
198,2192.253493139799
199,1986.5391597176224
200,2025.2016147980971
201,2009.1579001623325
202,2092.3539544423297
203,2093.460346455094
204,2024.7948938573838
205,2128.6060122733616
206,2128.9685274539147
207,2102.979699183239
208,2097.2761124071776
209,1954.481512280575
210,1897.5713312288658
211,1888.1622009690432
212,1899.7984897245476
213,1849.0143872231683
214,2001.4543172474469
215,2341.7307909092647
216,2413.024979452948
217,2269.862234431303
218,2140.6764163087078
219,2163.2686056400594
220,2152.732225888184
221,2132.3428876688868
222,2095.8627436296806
223,2109.503891421567
224,2063.1751137557876
225,2599.924154893364
226,2637.0259011791113
227,2568.1363679888186
228,2512.5271546098143
229,2437.8155089595657
230,2374.973024629102
231,2609.4686948479302
232,2711.47802742214
233,2528.4048972328405
234,2563.1061087551266
235,2281.214463839609
236,2286.395509687588
237,2403.7847249662586
238,2363.844247623526
239,2356.645303169412
240,2318.6610950430104
241,2323.271589976712
242,2328.3779474995863
243,2261.6173416433876
244,2269.634360150399
245,2176.9601389764625
246,2336.6566891983052
247,2354.673487300714
248,2303.462535638153
