entrance_id,rank,stop_id,walk_dist_m,weight_logit,weight_inv,reachable
66,3,11,328.3,0.2901,0.2973,True
67,1,52,308.8,0.3459,0.3433,True
67,2,11,321.2,0.3291,0.3299,True
67,3,51,324.3,0.325,0.3268,True
68,1,33,257.7,0.3872,0.3802,True
68,2,11,312.8,0.3106,0.3132,True
68,3,52,319.6,0.3023,0.3066,True
69,1,33,220.7,0.3872,0.3874,True
69,2,11,275.8,0.3106,0.31,True
69,3,52,282.5,0.3023,0.3026,True
70,1,13,218.7,0.412,0.4077,True
70,2,37,267.0,0.3396,0.3339,True
70,3,26,345.1,0.2485,0.2584,True
71,1,13,257.6,0.4027,0.3915,True
71,2,37,305.9,0.3319,0.3297,True
71,3,34,361.9,0.2654,0.2788,True
72,1,50,353.2,0.3338,0.3337,True
72,2,13,353.5,0.3335,0.3335,True
72,3,34,354.1,0.3326,0.3328,True
73,1,34,338.8,0.3721,0.3601,True
73,2,13,378.0,0.3181,0.3227,True
73,3,9,384.6,0.3098,0.3172,True
74,1,34,254.6,0.3627,0.3602,True
74,2,13,274.2,0.3353,0.3345,True
74,3,9,300.4,0.302,0.3053,True
75,1,34,292.6,0.3756,0.3667,True
75,2,9,338.3,0.3128,0.3171,True
75,3,13,339.4,0.3115,0.3162,True
76,1,34,316.8,0.3756,0.3643,True
76,2,9,362.6,0.3128,0.3183,True
76,3,13,363.6,0.3115,0.3174,True
77,1,34,314.1,0.41,0.3863,True
77,2,9,358.3,0.3435,0.3387,True
77,3,50,441.3,0.2465,0.275,True
78,1,34,340.9,0.3873,0.3694,True
78,2,9,385.1,0.3245,0.327,True
78,3,50,414.7,0.2882,0.3036,True
79,1,23,225.2,0.4153,0.41,True
79,2,48,312.9,0.2924,0.295,True
79,3,37,312.9,0.2923,0.295,True
80,1,23,217.1,0.419,0.4155,True
80,2,37,304.8,0.295,0.2959,True
80,3,48,312.5,0.286,0.2886,True
81,1,23,212.7,0.4032,0.403,True
81,2,37,265.6,0.3263,0.3227,True
81,3,13,312.5,0.2705,0.2743,True
82,1,23,237.7,0.4153,0.4064,True
82,2,48,325.4,0.2924,0.2968,True
82,3,37,325.5,0.2923,0.2968,True
83,1,48,298.5,0.3566,0.3518,True
83,2,23,311.6,0.3384,0.337,True
83,3,13,337.5,0.305,0.3111,True
84,1,6,280.3,0.3741,0.3666,True
84,2,5,305.5,0.3381,0.3363,True
84,3,28,345.9,0.2878,0.2971,True
85,1,6,188.5,0.4495,0.4383,True
85,2,5,213.1,0.4074,0.3876,True
85,3,28,474.6,0.1431,0.174,True
86,1,6,308.0,0.3741,0.3638,True
86,2,5,333.2,0.3381,0.3362,True
86,3,28,373.6,0.2878,0.2999,True
87,1,6,92.6,0.4806,0.5065,True
87,2,5,115.5,0.4386,0.4063,True
87,3,28,538.4,0.0808,0.0872,True
88,1,6,331.0,0.3907,0.372,True
88,2,5,353.9,0.3565,0.348,True
88,3,28,439.9,0.2528,0.28,True
89,1,6,310.2,0.4019,0.3812,True
89,2,5,333.1,0.3668,0.355,True
89,3,16,448.2,0.2314,0.2638,True
90,1,6,119.7,0.4806,0.4875,True
90,2,5,142.5,0.4386,0.4093,True
90,3,28,565.5,0.0808,0.1032,True
91,1,6,287.6,0.4147,0.3922,True
91,2,5,310.5,0.3785,0.3633,True
91,3,16,461.5,0.2068,0.2444,True
92,1,6,255.1,0.4356,0.411,True
92,2,5,278.0,0.3975,0.3772,True
92,3,16,494.9,0.1669,0.2118,True
93,1,6,233.0,0.4477,0.4235,True
93,2,5,255.9,0.4086,0.3857,True
93,3,16,517.1,0.1437,0.1908,True
94,1,6,210.8,0.4584,0.4361,True
94,2,5,233.7,0.4183,0.3934,True
94,3,16,539.2,0.1233,0.1705,True
95,1,6,190.8,0.4669,0.4476,True
95,2,5,213.6,0.4261,0.3997,True
95,3,16,559.2,0.1069,0.1527,True
96,1,11,111.2,0.3893,0.4349,True
96,2,51,157.4,0.3236,0.3071,True
96,3,52,187.4,0.287,0.258,True
97,1,51,339.0,0.3583,0.3508,True
97,2,11,351.6,0.3406,0.3382,True
97,3,52,382.4,0.3012,0.311,True
98,1,51,315.9,0.3583,0.352,True
98,2,11,328.6,0.3406,0.3385,True
98,3,52,359.4,0.3012,0.3095,True
99,1,51,291.9,0.3583,0.3535,True
99,2,11,304.6,0.3406,0.3388,True
99,3,52,335.3,0.3012,0.3077,True
100,1,51,269.7,0.3583,0.3551,True
100,2,11,282.4,0.3406,0.3391,True
100,3,52,313.2,0.3012,0.3058,True
