fid,X,Y,Адрес_clean,Адрес,Численность жителей,Жилая площадь,Население округл,Население норм.,field_9
88,30.5167844,59.90255378,"Английская улица, 3 к1","Всеволожский р-н, Кудрово г, Английская ул, 3 к. 1",348,"9712,7",356,"355,7765568","9712,7"
89,30.5178468,59.902541,"Английская улица, 3 к2","Всеволожский р-н, Кудрово г, Английская ул, 3 к. 2",347,"9729,2",356,"356,3809524","9729,2"
90,30.51890582,59.90253298,"Английская улица, 3 к3","Всеволожский р-н, Кудрово г, Английская ул, 3 к. 3",348,"9691,3",355,"354,992674","9691,3"
91,30.51999284,59.90251382,"Английская улица, 3 к4","Всеволожский р-н, Кудрово г, Английская ул, 3 к. 4",348,"9681,9",355,"354,6483516","9681,9"
92,30.51765873,59.90209803,"Английская улица, 3 к5","Всеволожский р-н, Кудрово г, Английская ул, 3 к. 5",119,"3970,4",145,"145,4358974","3970,4"
93,30.51873257,59.90206259,"Английская улица, 3 к6","Всеволожский р-н, Кудрово г, Английская ул, 3 к. 6",131,"4743,4",174,"173,7509158","4743,4"
94,30.51986574,59.90201135,"Английская улица, 3 к7","Всеволожский р-н, Кудрово г, Английская ул, 3 к. 7",154,"5452,7",200,"199,7326007","5452,7"
95,30.51603894,59.9092995,"Европейский проспект, 18 к1","Всеволожский р-н, Кудрово г, Европейский пр-кт, 18 к. 1",450,"11678,7",428,"427,7912088","11678,7"
96,30.51965475,59.90449091,"Столичная улица, 11 к3","Всеволожский р-н, Кудрово г, Столичная ул, 11 к. 3",304,"8381,5",307,"307,014652","8381,5"
97,30.51168481,59.90855692,"Пражская улица, 5",,442,"20054,9",735,"734,6117216","20054,9"
98,30.51733176,59.90957536,"Европейский проспект, 20 к1","обл. Ленинградская, д. Кудрово, пр-кт. Европейский, д. 20, к. 1",107,"5316,1",195,"194,7289377","5316,1"
99,30.51718484,59.91012954,"Европейский проспект, 20 к2","обл. Ленинградская, д. Кудрово, пр-кт. Европейский, д. 20, к. 2",102,"5062,4",185,"185,4358974","5062,4"
100,30.51989489,59.90762195,"Пражская улица, 12",,742,"28297,2",1037,"1036,527473","28297,2"
101,30.52187897,59.90718705,"Пражская улица, 14",,1330,"51639",1892,"1891,538462","51639"
102,30.52049402,59.90023215,"проспект Строителей, 20",,698,"29272,8",1072,"1072,263736","29272,8"
103,30.51752253,59.90452407,"Столичная улица, 11 к1","Всеволожский р-н, Кудрово г, Столичная ул, 11 к. 1",288,"7924,6",290,"290,2783883","7924,6"
104,30.51858167,59.90450276,"Столичная улица, 11 к2","Всеволожский р-н, Кудрово г, Столичная ул, 11 к. 2",304,"8389,1",307,"307,2930403","8389,1"
105,30.50666705,59.91821053,"Областная улица, 3","Всеволожский р-н, Кудрово г, Новый Оккервиль мкр, Областная ул, 3",1592,"74216,1",2719,"2718,538462","74216,1"
106,30.51372988,59.90555256,"Европейский проспект, 14 к5","Всеволожский р-н, Кудрово г, Европейский пр-кт, 14 к. 5",415,"14925,4",547,"546,7179487","14925,4"
107,30.52118817,59.90243627,"Английская улица, 5","Всеволожский р-н, Кудрово г, Английская ул, 5",472,"17229,9",631,"631,1318681","17229,9"
